카테고리,기관명,주소,위도,경도,정류소타입
버스정류장,청계4가.세운교,,37.5689254,126.9965617,일반차로
버스정류장,청계5가.광장시장,,37.56945128,126.9997974,일반차로
버스정류장,원남동,,37.57453251,126.9973383,가로변시간
버스정류장,창덕궁.우리소리박물관,,37.57727265,126.9889539,일반차로
버스정류장,안국역6번출구.인사동,,37.57579898,126.9841344,일반차로
버스정류장,조계사.종로경찰서,,37.57252231,126.9831556,일반차로
버스정류장,조계사.종로경찰서,,37.57248581,126.9828259,일반차로
버스정류장,안국동,,37.57461057,126.9827201,일반차로
버스정류장,종로5가.효제동.김상옥의거터,,37.5745,127.00223,가로변시간
버스정류장,종로5가.효제초등학교,,37.57287901,127.0021442,가로변시간
버스정류장,창덕궁.돈화문국악당,,37.57743277,126.991235,일반차로
버스정류장,종로5가역6번출구,,37.5705596,127.0021827,일반차로
버스정류장,청계6가.동대문시장,,37.56983511,127.0028494,일반차로
버스정류장,동대문,,37.57172624,127.0084126,일반차로
버스정류장,충신동,,37.57402235,127.0062788,일반차로
버스정류장,충신동,,37.57446028,127.0063434,일반차로
버스정류장,현대그룹빌딩,,37.57591041,127.0008066,일반차로
버스정류장,방송통신대.이화장,,37.578043,127.002437,가로변전일
버스정류장,혜화역2번출구.마로니에공원,,37.58111949,127.0022769,가로변전일
버스정류장,혜화역3번출구.서울대병원입구,,37.58095597,127.0018482,가로변전일
버스정류장,방송통신대.이화장,,37.57778897,127.0019783,일반차로
버스정류장,이화동(이화장),,37.57611936,127.0006951,일반차로
버스정류장,창경궁.서울대학교병원,,37.57882799,126.9968717,일반차로
버스정류장,이화동(이화장),,37.57593729,127.0032708,일반차로
버스정류장,혜화동로터리,,37.58558033,127.0006878,일반차로
버스정류장,명륜동2가.성균관대입구,,37.58341708,126.9993413,일반차로
버스정류장,혜화역.서울연극센터(장면총리가옥),,37.58403069,127.0014609,일반차로
버스정류장,혜화역.동성중고(장면총리가옥),,37.58453294,127.0015562,가로변시간
버스정류장,종로구민회관.창신동두산아파트,,37.57409268,127.0155555,일반차로
버스정류장,동묘앞역6번출구,,37.57168496,127.0156014,일반차로
버스정류장,동묘앞역5번출구,,37.57192215,127.015945,일반차로
버스정류장,청계2가교차로,,37.5684809,126.9878779,일반차로
버스정류장,창신3동주민센터,,37.578413,127.015178,일반차로
버스정류장,숭인1동주민센터.창신역4번출구,,37.57862816,127.0154558,일반차로
버스정류장,동묘앞역.롯데캐슬천지인,,37.57418005,127.0158024,일반차로
버스정류장,신설동로터리,,37.57569473,127.0228414,일반차로
버스정류장,동묘앞역2번출구,,37.57364311,127.0175235,일반차로
버스정류장,구기동현대빌라,,37.609682,126.956622,일반차로
버스정류장,광장시장,,37.56949631,126.9977438,일반차로
버스정류장,혜화경찰서,,37.57258074,126.9974788,가로변시간
버스정류장,서울역사박물관,,37.56990034,126.9721318,가로변시간
버스정류장,청계3가.관수교,,37.56868879,126.9937794,일반차로
버스정류장,청계6가.버들다리,,37.56993039,127.0080377,일반차로
버스정류장,청계7가.맑은내다리,,37.57004196,127.0130967,일반차로
버스정류장,청계8가.영도교,,37.57089499,127.0181256,일반차로
버스정류장,원남동사거리,,37.57576174,126.9981123,일반차로
버스정류장,숭인동,,37.57427215,127.0204373,일반차로
버스정류장,조계사,,37.57280034,126.9831609,일반차로
버스정류장,세종문화회관,,37.57336557,126.9770167,일반차로
버스정류장,이화동(이화장),,37.576257,127.002955,일반차로
버스정류장,상명대정문,,37.601417,126.955143,일반차로
버스정류장,이북오도청,,37.61272348,126.955973,일반차로
버스정류장,경복궁역(효자로입구),,37.57670951,126.9743023,일반차로
버스정류장,상명대입구.세검정교회,,37.59944351,126.9597922,일반차로
버스정류장,상명대입구.석파랑,,37.59957181,126.9581941,일반차로
버스정류장,종로중부새마을금고,,37.57241749,127.0065911,일반차로
버스정류장,신설동로터리.신한은행앞.서울풍물시장,,37.57425481,127.0231951,일반차로
버스정류장,청계2가.삼일교,,37.56834543,126.9869891,일반차로
버스정류장,청계8가.황학교,,37.57213073,127.022787,일반차로
버스정류장,평창동삼성아파트,,37.61118009,126.9787981,일반차로
버스정류장,안국역.인사동,,37.57633293,126.9855365,일반차로
버스정류장,안국역.서울공예박물관,,37.57641401,126.9848871,일반차로
버스정류장,창덕궁,,37.57722809,126.9890031,일반차로
버스정류장,남인사마당,,37.57131917,126.9874286,일반차로
버스정류장,평창파출소,,37.60568122,126.9668167,마을버스
버스정류장,삼청공원,,37.58822768,126.9816469,마을버스
버스정류장,수성동계곡,,37.58208138,126.9644679,마을버스
버스정류장,명륜3가종점,,37.59094838,126.9928637,마을버스
버스정류장,명륜새마을금고,,37.58778547,126.9967901,마을버스
버스정류장,서대문역3번출구,,37.56633706,126.9663939,마을버스
버스정류장,낙산공원,,37.58040372,127.0087216,마을버스
버스정류장,인사미술공간.세탁소,,37.58141098,126.9893671,마을버스
버스정류장,화정박물관,,37.6048012,126.9648837,마을버스
버스정류장,금융연수원,,37.58663983,126.9816583,마을버스
