매물종류,매물타입,위도,경도
원룸,전세,37.485585,126.97835
원룸,전세,37.486273,126.979336
원룸,전세,37.487579,126.976046
원룸,전세,37.477385,126.97605
원룸,전세,37.48839,126.907975
원룸,전세,37.477385,126.97605
원룸,전세,37.484523,126.969728
원룸,전세,37.479725,126.980165
원룸,전세,37.480988,126.9741
원룸,전세,37.475929,126.971217
원룸,전세,37.492932,126.978515
원룸,전세,37.501009,126.951741
원룸,전세,37.502491,126.927809
원룸,전세,37.505188,126.953615
원룸,전세,37.497243,126.927004
원룸,전세,37.5022,126.935274
원룸,전세,37.502304,126.925302
원룸,전세,37.497832,126.930617
원룸,전세,37.497832,126.930617
원룸,전세,37.482639,126.979841
원룸,전세,37.502304,126.925302
원룸,전세,37.497832,126.930617
원룸,전세,37.497277,126.920499
원룸,전세,37.497151,126.923984
원룸,전세,37.485977,126.969364
원룸,전세,37.486273,126.979336
원룸,전세,37.487579,126.976046
원룸,전세,37.485585,126.97835
원룸,전세,37.488324,126.910335
원룸,전세,37.508742,126.945558
원룸,전세,37.494843,126.955789
원룸,전세,37.504497,126.945256
원룸,전세,37.498696,126.952805
원룸,전세,37.482449,126.976403
원룸,전세,37.505188,126.953615
원룸,전세,37.504287,126.924495
원룸,전세,37.480988,126.9741
원룸,전세,37.475929,126.971217
원룸,전세,37.480932,126.977392
원룸,전세,37.480204,126.978913
원룸,전세,37.479307,126.97781
원룸,전세,37.477639,126.979019
원룸,전세,37.508613,126.947413
원룸,전세,37.486423,126.970857
원룸,전세,37.478195,126.97932
원룸,전세,37.485752,126.978726
원룸,전세,37.502288,126.933696
원룸,전세,37.505966,126.956784
원룸,전세,37.475929,126.971217
원룸,전세,37.500227,126.952213
원룸,전세,37.494281,126.958491
원룸,전세,37.494799,126.957955
원룸,전세,37.494799,126.957955
원룸,전세,37.504386,126.948678
원룸,전세,37.496496,126.932831
원룸,전세,37.485752,126.978726
원룸,전세,37.485752,126.978726
원룸,전세,37.511786,126.943312
원룸,전세,37.496542,126.928833
원룸,전세,37.481018,126.977692
원룸,전세,37.477691,126.973177
원룸,전세,37.494864,126.958512
원룸,전세,37.480452,126.977801
원룸,전세,37.50138,126.950707
원룸,전세,37.479282,126.97862
원룸,전세,37.482843,126.976731
원룸,전세,37.483221,126.981057
원룸,전세,37.503787,126.944975
원룸,전세,37.508772,126.957514
원룸,전세,37.503401,126.922786
원룸,전세,37.498885,126.950588
원룸,전세,37.500662,126.934839
원룸,전세,37.483221,126.981057
원룸,전세,37.481018,126.977692
원룸,전세,37.481018,126.977692
원룸,전세,37.480451,126.976847
원룸,전세,37.505046,126.942902
원룸,전세,37.479198,126.974578
원룸,전세,37.497593,126.93041
원룸,전세,37.478195,126.97932
원룸,전세,37.505791,126.955772
원룸,전세,37.498405,126.943164
원룸,전세,37.500246,126.941872
원룸,전세,37.479198,126.974578
원룸,전세,37.481018,126.977692
원룸,전세,37.480478,126.970253
원룸,전세,37.479399,126.978783
원룸,전세,37.481035,126.972796
원룸,전세,37.480451,126.976847
원룸,전세,37.477939,126.973567
원룸,전세,37.479449,126.974332
원룸,전세,37.48177,126.97503
원룸,전세,37.480451,126.976847
원룸,전세,37.499813,126.952221
원룸,전세,37.494713,126.954127
원룸,전세,37.479313,126.976315
원룸,전세,37.48028,126.980433
원룸,전세,37.506005,126.92328
원룸,전세,37.487219,126.966362
원룸,전세,37.479282,126.97862
원룸,전세,37.481258,126.972591
원룸,전세,37.485977,126.969364
원룸,전세,37.480496,126.972186
원룸,전세,37.506578,126.956806
원룸,전세,37.486512,126.969181
원룸,전세,37.481193,126.976083
원룸,전세,37.500347,126.927034
원룸,전세,37.478195,126.97932
원룸,전세,37.476938,126.970844
원룸,전세,37.482116,126.975392
원룸,전세,37.479525,126.973557
원룸,전세,37.479249,126.976851
원룸,전세,37.50447,126.924429
원룸,전세,37.482639,126.979841
원룸,전세,37.479198,126.974578
원룸,전세,37.477385,126.97605
원룸,전세,37.49398,126.953622
원룸,전세,37.511295,126.926343
원룸,전세,37.482539,126.972644
원룸,전세,37.498074,126.932305
원룸,전세,37.490536,126.980579
원룸,전세,37.505188,126.953615
원룸,전세,37.48007,126.973671
원룸,전세,37.479449,126.974332
원룸,전세,37.496581,126.922902
원룸,전세,37.498122,126.933169
원룸,전세,37.511474,126.955696
원룸,전세,37.490536,126.980579
원룸,전세,37.483894,126.968434
원룸,전세,37.497277,126.920499
원룸,전세,37.496547,126.931198
원룸,전세,37.482048,126.974069
원룸,전세,37.490536,126.980579
원룸,전세,37.477639,126.979019
원룸,전세,37.477639,126.979019
원룸,전세,37.481103,126.979181
원룸,전세,37.504158,126.948715
원룸,전세,37.497243,126.927004
원룸,전세,37.490265,126.980252
원룸,전세,37.511741,126.936434
원룸,전세,37.481258,126.972591
원룸,전세,37.477691,126.973177
원룸,전세,37.50368,126.934551
원룸,전세,37.500152,126.951494
원룸,전세,37.510987,126.947703
원룸,전세,37.512539,126.928608
원룸,전세,37.479449,126.974332
원룸,전세,37.479742,126.977233
원룸,전세,37.481747,126.972916
원룸,전세,37.497205,126.9453
원룸,전세,37.481115,126.977867
원룸,전세,37.480016,126.977258
원룸,전세,37.480932,126.977392
원룸,전세,37.493541,126.953688
원룸,전세,37.496749,126.925972
원룸,전세,37.50138,126.950707
원룸,전세,37.501833,126.92791
원룸,전세,37.487579,126.976046
원룸,전세,37.480496,126.972186
원룸,전세,37.49398,126.953622
원룸,전세,37.508677,126.958504
원룸,전세,37.485614,126.967437
원룸,전세,37.494926,126.958141
원룸,전세,37.504368,126.959497
원룸,전세,37.483061,126.981282
원룸,전세,37.497832,126.930617
원룸,전세,37.477691,126.972894
원룸,전세,37.497832,126.930617
원룸,전세,37.497029,126.929006
원룸,전세,37.498074,126.932305
원룸,전세,37.498074,126.932305
원룸,전세,37.480961,126.9748
원룸,전세,37.481018,126.977692
원룸,전세,37.482152,126.97454
원룸,전세,37.483061,126.981282
원룸,전세,37.479249,126.976851
원룸,전세,37.482152,126.97454
원룸,전세,37.497243,126.927004
원룸,전세,37.482539,126.972644
원룸,전세,37.479249,126.976851
원룸,전세,37.482539,126.972644
원룸,전세,37.503787,126.944975
원룸,전세,37.48007,126.973671
원룸,전세,37.482639,126.979841
원룸,전세,37.497832,126.930617
원룸,전세,37.503683,126.93926
원룸,전세,37.506244,126.946457
원룸,전세,37.493977,126.954677
원룸,전세,37.487579,126.976046
원룸,전세,37.480854,126.976216
원룸,전세,37.480854,126.976216
원룸,전세,37.504497,126.945256
원룸,전세,37.477385,126.97605
원룸,전세,37.477385,126.97605
원룸,전세,37.503546,126.945348
원룸,전세,37.49648,126.931733
원룸,전세,37.486821,126.908469
원룸,전세,37.479953,126.980199
원룸,전세,37.483221,126.981057
원룸,전세,37.506578,126.956806
원룸,전세,37.483221,126.981057
원룸,전세,37.482539,126.972644
원룸,전세,37.50555,126.955364
원룸,전세,37.494713,126.954127
원룸,전세,37.480898,126.972297
원룸,전세,37.481165,126.970335
원룸,전세,37.497243,126.927004
원룸,전세,37.497243,126.927004
원룸,전세,37.497243,126.927004
원룸,전세,37.483221,126.981057
원룸,전세,37.487027,126.976386
원룸,전세,37.483221,126.981057
원룸,전세,37.495174,126.92647
원룸,전세,37.496305,126.930321
원룸,전세,37.483221,126.981057
원룸,전세,37.487027,126.976386
원룸,전세,37.51253,126.92822
원룸,전세,37.504938,126.936012
원룸,전세,37.482259,126.96689
원룸,전세,37.479198,126.974578
원룸,전세,37.495546,126.930983
원룸,전세,37.504497,126.945256
원룸,전세,37.498074,126.932305
원룸,전세,37.487661,126.909155
원룸,전세,37.487186,126.909141
원룸,전세,37.479449,126.974332
원룸,전세,37.497243,126.927004
원룸,전세,37.477639,126.979019
원룸,전세,37.477385,126.97605
원룸,전세,37.51253,126.92822
원룸,전세,37.479449,126.974332
원룸,전세,37.480988,126.9741
원룸,전세,37.48007,126.973671
원룸,전세,37.504561,126.952711
원룸,전세,37.479624,126.980252
원룸,전세,37.480514,126.978965
원룸,전세,37.477639,126.979019
원룸,전세,37.503546,126.945348
원룸,전세,37.505098,126.953563
원룸,전세,37.505188,126.953615
원룸,전세,37.478862,126.976515
원룸,전세,37.480547,126.978317
원룸,전세,37.490602,126.979189
원룸,전세,37.478435,126.976657
원룸,전세,37.495374,126.952431
원룸,전세,37.480531,126.978836
원룸,전세,37.477691,126.972894
원룸,전세,37.479874,126.980176
원룸,전세,37.480514,126.978965
원룸,전세,37.51173,126.932603
원룸,전세,37.491664,126.978939
원룸,전세,37.491664,126.978939
원룸,전세,37.505188,126.953615
원룸,전세,37.478195,126.97932
원룸,전세,37.477385,126.97605
원룸,전세,37.488714,126.979815
원룸,전세,37.480223,126.978562
원룸,전세,37.512492,126.944764
원룸,전세,37.475929,126.971217
원룸,전세,37.482343,126.976391
원룸,전세,37.478294,126.980481
원룸,전세,37.496581,126.922902
원룸,전세,37.500864,126.948422
원룸,전세,37.512972,126.942375
원룸,전세,37.483583,126.96884
원룸,전세,37.479621,126.976948
원룸,전세,37.495431,126.952183
