위도,경도,클러스터내마커수,줌레벨
37.51193267,126.9435437,3,4
37.5121888,126.9366676,5,4
37.51173,126.932603,1,4
37.51233083,126.9456147,6,4
37.512972,126.942375,2,4
37.53621875,126.9447575,4,4
37.54959867,126.9438523,3,4
37.547248,126.933988,1,4
37.555381,126.944484,2,4
37.546427,126.959802,1,4
37.548434,126.9377299,16,4
37.545736,126.93927,3,4
37.547174,126.9462245,2,4
37.553934,126.9448395,2,4
37.543038,126.95692,1,4
37.541399,126.944735,3,4
37.555467,126.946319,2,4
37.544997,126.933888,1,4
37.55390533,126.9332432,12,4
37.536776,126.946556,1,4
37.5474575,126.9394665,2,4
37.5388575,126.9491275,2,4
37.55510833,126.94205,3,4
37.542051,126.9386945,2,4
37.556376,126.930655,1,4
37.5572495,126.93918,4,4
37.5582282,126.9417192,10,4
37.55920757,126.9336133,14,4
37.55931017,126.9321993,6,4
37.558396,126.946434,7,4
37.5570085,126.9331975,2,4
37.541971,126.993354,1,4
37.54679967,126.9675486,9,4
37.539109,126.993702,2,4
37.548586,126.97866,1,4
37.541383,126.9648815,2,4
37.53248957,126.9742323,21,4
37.553577,126.9666015,4,4
37.547876,126.965921,3,4
37.544555,126.98157,1,4
37.548857,126.98033,4,4
37.533546,126.993738,1,4
37.53165138,126.9725865,8,4
37.543785,126.986044,2,4
37.5244,126.966285,3,4
37.534786,126.972616,2,4
37.537175,126.974558,1,4
37.531744,127.006074,8,4
37.5408385,126.9743115,2,4
37.540789,126.958718,1,4
37.546235,126.98319,1,4
37.534871,126.988825,2,4
37.533772,126.955791,2,4
37.541948,126.984381,1,4
37.551426,126.9683603,3,4
37.542546,126.963039,1,4
37.54343075,126.9690775,4,4
37.554625,126.977227,1,4
37.555528,127.007368,1,4
37.551491,127.007718,4,4
37.55630425,127.012481,4,4
37.5524665,127.0055325,2,4
37.5590695,127.0008545,2,4
37.511864,126.947406,1,4
37.51251,126.935117,1,4
37.55700533,126.9544707,15,4
37.5456745,126.937548,2,4
37.54826,126.93056,1,4
37.55504229,126.9338034,7,4
37.557259,126.9599,1,4
37.546209,126.935701,1,4
37.555049,126.932338,1,4
37.54321,126.93557,1,4
37.547937,126.960716,1,4
37.551772,126.944206,2,4
37.552433,126.961615,1,4
37.553624,126.938861,1,4
37.543787,126.939838,1,4
37.56070533,126.931157,3,4
37.558059,126.958319,3,4
37.5581794,126.935479,5,4
37.557323,126.943289,1,4
37.55147333,126.9641733,3,4
37.550514,126.967374,2,4
37.548895,126.96668,2,4
37.551257,126.966224,2,4
37.552584,126.964718,1,4
37.554761,126.968157,1,4
37.539575,126.963517,1,4
37.537143,126.968368,1,4
37.53639133,126.9603907,3,4
37.53750317,126.964765,6,4
37.536745,126.962386,1,4
